date,followers,sentiment,location
04/27/15,307,0.6892,Washington
04/27/15,272,0.0,Washington
04/27/15,211,0.0,Washington
04/27/15,1107,0.0,Washington
04/27/15,959,0.0,Washington
04/27/15,803,0.0,Washington
04/27/15,1107,0.0,Washington
04/27/15,803,0.0,Washington
04/27/15,959,0.0,Washington
04/27/15,165,0.0258,Unknown
04/27/15,124,-0.0516,Ohio
04/27/15,2387,0.0,Washington
04/27/15,48,0.2732,Unknown
04/27/15,376,-0.2732,Unknown
04/27/15,1869,0.0,Unknown
04/27/15,1870,0.0,Unknown
04/27/15,1618,0.6808,Unknown
04/27/15,25,-0.1027,California
04/27/15,25,-0.1027,California
04/27/15,1918,0.5267,New Mexico
04/27/15,960,0.0,Washington
04/27/15,803,0.0,Washington
04/27/15,1107,0.0,Washington
04/27/15,23,0.0,Unknown
04/27/15,254,0.2023,Unknown
04/27/15,202,-0.5789,Maryland
04/27/15,202,0.5994,Maryland
04/27/15,203,-0.5719,Maryland
04/27/15,897,-0.4019,Alabama
04/28/15,357,-0.5267,Unknown
04/28/15,294,-0.088,Arizona
04/28/15,73,-0.7003,Unknown
04/28/15,279,-0.69,Unknown
04/28/15,962,0.0,Washington
04/28/15,803,0.0,Washington
04/28/15,1110,0.0,Washington
04/28/15,803,0.0,Washington
04/28/15,962,0.0,Washington
04/28/15,1110,0.0,Washington
04/28/15,1109,0.296,Washington
04/28/15,961,0.296,Washington
04/28/15,800,0.296,Washington
04/28/15,294,0.0,Connecticut
04/28/15,910,0.0,Unknown
04/28/15,2176,0.3164,Unknown
04/28/15,10393,0.0,Washington
04/28/15,3511,0.1779,California
04/28/15,1108,0.0,Washington
04/28/15,962,0.0,Washington
04/28/15,801,0.0,Washington
04/28/15,801,0.0,Washington
04/28/15,962,0.0,Washington
04/28/15,1108,0.0,Washington
04/28/15,801,0.0,Washington
04/28/15,962,0.0,Washington
04/28/15,1108,0.0,Washington
04/28/15,1248,-0.3862,Washington
04/28/15,10242,0.6808,District of Columbia
04/28/15,203,0.0,Unknown
04/28/15,266,0.6369,District of Columbia
04/28/15,9282,0.0,Ohio
04/28/15,25,0.0,California
04/28/15,162,-0.6249,Ohio
04/28/15,801,0.0,Washington
04/28/15,1108,0.0,Washington
04/28/15,962,0.0,Washington
04/28/15,1379,-0.6808,Unknown
04/28/15,380,0.0,Unknown
04/28/15,380,0.2023,Unknown
04/29/15,1108,0.0,Washington
04/29/15,800,0.0,Washington
04/29/15,961,0.0,Washington
04/29/15,1108,0.3182,Washington
04/29/15,961,0.3182,Washington
04/29/15,800,0.3182,Washington
04/29/15,37,-0.4574,Colorado
04/29/15,281,0.6114,New York
04/29/15,1245,0.7184,Unknown
04/29/15,1108,0.0,Washington
04/29/15,961,0.0,Washington
04/29/15,799,0.0,Washington
04/29/15,587,0.296,New York
04/29/15,1108,0.0,Washington
04/29/15,798,0.0,Washington
04/29/15,962,0.0,Washington
04/29/15,1108,-0.6588,Washington
04/29/15,962,-0.6249,Washington
04/29/15,798,-0.6588,Washington
04/29/15,1690,0.807,Unknown
04/29/15,300,0.0,Alabama
04/29/15,1051,0.4588,Unknown
04/29/15,1051,0.8271,Unknown
04/29/15,383,0.3612,Tennessee
04/29/15,9010,0.0,Unknown
04/29/15,4708,0.0,Unknown
04/29/15,242,0.0,Unknown
04/29/15,847,0.3612,Unknown
04/29/15,2545,0.6588,North Carolina
04/29/15,1267,0.0,California
04/29/15,1268,0.0,California
04/29/15,1268,0.0,California
04/29/15,810,0.5106,Unknown
04/29/15,810,0.5106,Unknown
04/29/15,34103,0.5093,California
04/29/15,4226,0.6696,Unknown
04/29/15,4226,0.6696,Unknown
04/29/15,70,0.0,Texas
04/29/15,416,0.7964,California
04/29/15,416,0.8689,California
04/29/15,366,0.0,New York
04/29/15,92,-0.3736,North Carolina
04/29/15,67993,-0.2003,New York
04/29/15,941,-0.5994,Unknown
04/29/15,137,0.0,Arkansas
04/29/15,22325,0.765,Kansas
04/29/15,459090,0.6115,Unknown
04/29/15,18,0.0,Indiana
04/29/15,2546,0.0,North Carolina
04/29/15,559,0.0,Unknown
04/29/15,1244,0.0,Unknown
04/29/15,18,0.4404,Indiana
04/29/15,181,0.0,Unknown
04/29/15,106,0.0,California
04/29/15,806,0.7003,New York
04/29/15,1333,0.0,Florida
04/29/15,964,-0.1779,Maryland
04/29/15,1933,0.0,Unknown
04/29/15,888,0.0,Unknown
04/29/15,8032,0.0,Unknown
04/29/15,62,0.0,Unknown
04/29/15,359,0.0,Washington
04/29/15,888,0.0,Unknown
04/29/15,359,0.5789,Washington
04/29/15,805,0.4753,New York
04/29/15,203,0.5413,Unknown
